*****Date and Time*************Function/Product**********Trans. Amt/Bal*********Ending Balance*****

10/12/2019 3:39:25 PM  ||      FEED MONEY             ||      $12.00     ||          $12.00
10/12/2019 3:39:27 PM  ||      FEED MONEY             ||      $1.00      ||          $13.00
10/12/2019 3:39:32 PM  ||      Potato Flippy Doodles  ||      $13.00     ||          $9.95
10/12/2019 3:39:39 PM  ||      Mountain Melter        ||      $9.95      ||          $8.45
10/12/2019 3:39:46 PM  ||      Cola                   ||      $8.45      ||          $7.20
10/12/2019 3:39:49 PM  ||      GIVE CHANGE            ||      $7.20      ||          $0.00
10/12/2019 3:39:52 PM  ||      GIVE CHANGE            ||      $0.00      ||          $0.00
10/12/2019 3:59:11 PM  ||      FEED MONEY             ||      $12.00     ||          $12.00
10/12/2019 4:05:48 PM  ||      FEED MONEY             ||      $12.00     ||          $12.00
10/12/2019 4:07:14 PM  ||      FEED MONEY             ||      $12.00     ||          $12.00
10/12/2019 4:08:26 PM  ||      FEED MONEY             ||      $12.00     ||          $12.00
10/12/2019 4:24:34 PM  ||      GIVE CHANGE            ||      $12.00     ||          $0.00
10/12/2019 4:42:00 PM  ||      GIVE CHANGE            ||      $0.00      ||          $0.00
10/12/2019 4:47:37 PM  ||      GIVE CHANGE            ||      $0.00      ||          $0.00
10/12/2019 4:48:13 PM  ||      GIVE CHANGE            ||      $0.00      ||          $0.00
10/12/2019 4:50:26 PM  ||      GIVE CHANGE            ||      $0.00      ||          $0.00
10/12/2019 4:50:53 PM  ||      FEED MONEY             ||      $12.00     ||          $12.00
10/12/2019 4:50:57 PM  ||      FEED MONEY             ||      $12.00     ||          $24.00
10/12/2019 4:51:03 PM  ||      FEED MONEY             ||      $12.00     ||          $36.00
10/12/2019 4:51:09 PM  ||      Slap Yo' Mama!         ||      $36.00     ||          $34.55
10/12/2019 4:56:57 PM  ||      GIVE CHANGE            ||      $0.00      ||          $0.00
10/12/2019 5:19:36 PM  ||      FEED MONEY             ||      $12.00     ||          $12.00
10/12/2019 5:19:39 PM  ||      FEED MONEY             ||      $12.00     ||          $24.00
10/12/2019 5:19:42 PM  ||      FEED MONEY             ||      $2.00      ||          $26.00
10/12/2019 5:19:47 PM  ||      Potato Flippy Doodles  ||      $26.00     ||          $22.95
10/12/2019 5:19:57 PM  ||      Banana Burgers         ||      $22.95     ||          $20.20
10/12/2019 5:20:04 PM  ||      Cola                   ||      $20.20     ||          $18.95
10/12/2019 5:20:15 PM  ||      Cloud Popcorn          ||      $18.95     ||          $15.30
10/12/2019 5:20:24 PM  ||      Wonka Bar              ||      $15.30     ||          $13.80
10/12/2019 5:20:34 PM  ||      Potato Flippy Doodles  ||      $13.80     ||          $10.75
10/12/2019 5:20:39 PM  ||      Potato Flippy Doodles  ||      $10.75     ||          $7.70
10/12/2019 5:20:57 PM  ||      Little League Chew     ||      $7.70      ||          $6.75
10/12/2019 5:21:06 PM  ||      Triplemint             ||      $6.75      ||          $6.00
10/12/2019 5:21:14 PM  ||      Cowtales               ||      $6.00      ||          $4.50
10/12/2019 5:21:26 PM  ||      Cloud Popcorn          ||      $4.50      ||          $0.85
10/12/2019 5:21:34 PM  ||      U-Chews                ||      $0.85      ||          $0.00
10/12/2019 5:22:00 PM  ||      GIVE CHANGE            ||      $0.00      ||          $0.00
10/12/2019 5:22:25 PM  ||      GIVE CHANGE            ||      $0.00      ||          $0.00
10/12/2019 5:24:41 PM  ||      FEED MONEY             ||      $12.00     ||          $12.00
10/12/2019 5:24:47 PM  ||      Cloud Popcorn          ||      $12.00     ||          $8.35
10/12/2019 5:33:30 PM  ||      GIVE CHANGE            ||      $0.00      ||          $0.00
10/12/2019 6:06:01 PM  ||      FEED MONEY             ||      $5.00      ||          $5.00
10/12/2019 6:10:14 PM  ||      FEED MONEY             ||      $12.00     ||          $12.00
10/12/2019 6:14:35 PM  ||      FEED MONEY             ||      $5.00      ||          $5.00
10/12/2019 6:15:52 PM  ||      FEED MONEY             ||      $5.00      ||          $5.00
10/12/2019 6:22:46 PM  ||      FEED MONEY             ||      $5.00      ||          $5.00
10/12/2019 6:22:46 PM  ||      FEED MONEY             ||      $10.00     ||          $10.00
10/12/2019 6:22:46 PM  ||      FEED MONEY             ||      $20.00     ||          $20.00
10/12/2019 6:22:46 PM  ||      FEED MONEY             ||      $13.00     ||          $13.00
10/12/2019 6:22:46 PM  ||      FEED MONEY             ||      $27.00     ||          $27.00
10/12/2019 6:28:13 PM  ||      FEED MONEY             ||      $1.00      ||          $1.00
10/12/2019 6:33:59 PM  ||      GIVE CHANGE            ||      $0.00      ||          $0.00
10/13/2019 6:27:10 AM  ||      FEED MONEY             ||      $2,000.00  ||          $2,000.00
10/13/2019 6:27:15 AM  ||      Potato Flippy Doodles  ||      $2,000.00  ||          $1,996.95
10/13/2019 6:27:28 AM  ||      GIVE CHANGE            ||      $1,996.95  ||          $0.00
10/13/2019 6:28:51 AM  ||      FEED MONEY             ||      $15.00     ||          $15.00
10/13/2019 6:28:56 AM  ||      Grain Waves            ||      $15.00     ||          $12.25
10/13/2019 6:29:07 AM  ||      Cloud Popcorn          ||      $12.25     ||          $8.60
10/13/2019 6:30:12 AM  ||      GIVE CHANGE            ||      $8.60      ||          $0.00
10/13/2019 6:30:18 AM  ||      GIVE CHANGE            ||      $0.00      ||          $0.00
10/13/2019 6:32:26 AM  ||      FEED MONEY             ||      $5.00      ||          $5.00
10/13/2019 6:32:26 AM  ||      FEED MONEY             ||      $10.00     ||          $10.00
10/13/2019 6:32:26 AM  ||      FEED MONEY             ||      $20.00     ||          $20.00
